Organization,Organization Name URL,Categories,Headquarters,Regions,Founded,Date_Period,ExitDate,ExitDatePrecision,LastFundingDate,LastFundingAmount,LastFundingAmountCurrency,LastFundingAmountUSD,LastFundingType,LastEquityFundingAmount,LastEquityFundingAmountCurrency,LastEquityFundingAmountUSD,FundingStatus,Top5Investors,NumberInvestors
CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,"Cyber Security, Machine Learning, Network Security, SaaS, Security","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2011-01-01,year,2019-06-12,day,2018-06-19,200000000,USD,200000000,Series E,200000000,USD,200000000,IPO,"Accel, General Atlantic, IVP (Institutional Venture Partners), March Capital Partners, Warburg Pincus",10
Recorded Future,https://www.crunchbase.com/organization/recorded-future,"Analytics, Cyber Security, Machine Learning, Real Time","Somerville, Massachusetts, United States","Greater Boston Area, East Coast, New England",2009-01-01,year,2019-05-30,day,2017-10-31,25000000,USD,25000000,Series E,25000000,USD,25000000,M&A,"Balderton Capital, GV, IA Ventures, Insight Partners, MassMutual Ventures",8
Zscaler,https://www.crunchbase.com/organization/zscaler,"Cloud Security, Cyber Security, Enterprise Software, Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2008-01-01,year,2018-03-16,day,2017-08-08,,,,Secondary Market,110000000,USD,110000000,IPO,"CapitalG, EquityZen, Lightspeed Venture Partners, TPG Growth",4
Cylance,https://www.crunchbase.com/organization/cylance,"Artificial Intelligence, Consulting, Cyber Security, Enterprise Software, Machine Learning, Network Security, Penetration Testing","Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",2012-07-04,day,2018-11-16,day,2018-06-20,120000000,USD,120000000,Series E,120000000,USD,120000000,M&A,"Blackstone Group, Dell Technologies Capital, Insight Partners, Khosla Ventures, Kohlberg Kravis Roberts",13
Bitdefender,https://www.crunchbase.com/organization/bitdefender,"Cloud Security, Cyber Security, Network Security, Software","Bucharest, Bucuresti, Romania",European Union (EU),2001-01-01,year,,,2017-12-01,180000000,USD,180000000,Secondary Market,7000000,USD,7000000,,"Balkan Accession Fund, Romanian-American Enterprise Fund, Vitruvian Partners",3
Duo Security,https://www.crunchbase.com/organization/duo-security,"Cloud Security, Cyber Security, Enterprise Software, Network Security, SaaS","Ann Arbor, Michigan, United States","Great Lakes, Midwestern US",2009-01-01,year,2018-08-02,day,2017-10-18,70000000,USD,70000000,Series D,70000000,USD,70000000,M&A,"GV, Index Ventures, Redpoint, True Ventures, Workday",12
Agari,https://www.crunchbase.com/organization/agari-data,"Cyber Security, Fraud Detection, Network Security, SaaS, Security","Foster City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2009-01-01,year,,,2018-06-21,40000000,USD,40000000,Series E,40000000,USD,40000000,Late Stage Venture,"Battery Ventures, First Round Capital, Goldman Sachs, Norwest Venture Partners, Scale Venture Partners",9
SparkCognition,https://www.crunchbase.com/organization/sparkcognition,"Analytics, Artificial Intelligence, Cyber Security, Machine Learning, Software","Austin, Texas, United States",Southern US,2013-01-01,year,,,2018-02-20,24000000,USD,24000000,Series B,24000000,USD,24000000,Early Stage Venture,"Boeing HorizonX Ventures, Energize Ventures, The Boeing Company, US Department of Energy, Verizon Ventures",11
Tenable Network Security,https://www.crunchbase.com/organization/tenable-network-security,"Compliance, Network Security, Risk Management, Security","Columbia, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2002-09-01,month,2018-07-26,day,2017-07-03,,,,Secondary Market,250000000,USD,250000000,IPO,"Accel, In-Q-Tel, Insight Partners, SharesPost Investment Management",4
Kenna Security,https://www.crunchbase.com/organization/risk-io,"SaaS, Security, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2010-01-01,year,,,2018-03-27,25000000,USD,25000000,Series C,25000000,USD,25000000,Late Stage Venture,"Bessemer Venture Partners, Costanoa Ventures, OurCrowd, PeakSpan Capital, U.S. Venture Partners (USVP)",7
Anomali,https://www.crunchbase.com/organization/threatstream,"Analytics, Cyber Security, Network Security, Open Source, Security","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2018-01-17,40000000,USD,40000000,Series D,40000000,USD,40000000,Late Stage Venture,"Deutsche Telekom Capital Partners, General Catalyst, GV, IVP (Institutional Venture Partners), Telstra Ventures",11
ForgeRock,https://www.crunchbase.com/organization/forgerock,"Cyber Security, Enterprise Software, Identity Management, Information Technology, Internet of Things, Privacy","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2010-02-01,day,,,2017-09-05,88000000,USD,88000000,Series D,88000000,USD,88000000,Late Stage Venture,"Accel, Foundation Capital, Kohlberg Kravis Roberts, Meritech Capital Partners",4
Threat Stack,https://www.crunchbase.com/organization/threat-stack,"Cloud Security, SaaS, Security","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2012-11-01,day,,,2017-09-19,45000000,USD,45000000,Series C,45000000,USD,45000000,Late Stage Venture,"Atlas Venture, Eight Roads Ventures, Right Side Capital Management, Scale Venture Partners, Techstars",8
Skybox Security,https://www.crunchbase.com/organization/skybox-security,"Cloud Security, Cyber Security, Enterprise Software, Network Security, Security, Software","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2002-01-01,year,,,2017-10-25,150000000,USD,150000000,Private Equity,150000000,USD,150000000,Private Equity,"CVC Capital Partners, Lightspeed Venture Partners, Providence Equity Partners, Rembrandt Venture Partners, Susquehanna Growth Equity",14
Bugcrowd,https://www.crunchbase.com/organization/bugcrowd,"Crowdsourcing, Cyber Security, Penetration Testing, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2012-09-01,day,,,2018-03-01,26000000,USD,26000000,Series C,26000000,USD,26000000,Late Stage Venture,"Blackbird Ventures (Australia), Costanoa Ventures, Industry Ventures, Partech, Salesforce Ventures",14
Synack,https://www.crunchbase.com/organization/synack,"Crowdsourcing, Cyber Security, Network Security, Security","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2017-10-19,,,,Undisclosed,,,,,"GV, Hewlett Packard Enterprise, Icon Ventures, Intel Capital, Techstars",17
Signicat,https://www.crunchbase.com/organization/signicat,"Cloud Security, Document Management, E-Signature, FinTech, Identity Management, Security","Trondheim, Sor-Trondelag, Norway","Nordic Countries, Scandinavia",2006-02-17,day,2019-04-11,day,2018-01-25,1600000,EUR,1982622,Grant,1358462,EUR,1433496,M&A,"EASME - EU Executive Agency for SMEs, Horizon 2020, SIH - Secure Identity Holding, Viking Venture Management",4
Cofense,https://www.crunchbase.com/organization/phishme,"Cyber Security, Enterprise Software, Security","Leesburg, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2011-01-01,year,2018-02-26,day,2018-02-23,,,,Venture - Series Unknown,,,,M&A,"Aldrich Capital Partners, Bessemer Venture Partners, Paladin Capital Group, Telstra Ventures",4
Deep Instinct,https://www.crunchbase.com/organization/deep-instinct,"Artificial Intelligence, Cyber Security, Machine Learning, Network Security, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2015-01-01,year,,,2018-06-12,32000000,USD,32000000,Series B,32000000,USD,32000000,Early Stage Venture,"Alpha Intelligence Capital, Coatue Management, Millennium Technology Value Partners, Nvidia GPU Ventures, Samsung Ventures",5
Telegram Messenger,https://www.crunchbase.com/organization/telegram-messenger,"Apps, Cyber Security, Desktop Apps, Messaging, Mobile, Mobile Apps, Privacy, Security, Social Media","London, England, United Kingdom",European Union (EU),2013-08-14,day,,,2018-03-29,850000000,USD,850000000,Initial Coin Offering,850000000,USD,850000000,,"Alexis Berthoud, Concentric, Dalma Capital, O.D. Kobo",4
Lookout,https://www.crunchbase.com/organization/lookout,"Cloud Security, Cyber Security, Enterprise Software, Mobile, Network Security, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2007-01-01,year,,,2018-01-01,,,,Secondary Market,150000000,USD,150000000,Late Stage Venture,"Andreessen Horowitz, Goldman Sachs, Khosla Ventures, Morgan Stanley, Qualcomm Ventures",21
StackRox,https://www.crunchbase.com/organization/stackrox,"Artificial Intelligence, Cloud Computing, Cyber Security, Enterprise Software, Information Technology, Machine Learning, Security, Software","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-11-01,month,,,2018-04-10,25000000,USD,25000000,Series B,25000000,USD,25000000,Early Stage Venture,"Amplify Partners, Avalon Ventures, Redpoint, Sequoia Capital",4
BitSight,https://www.crunchbase.com/organization/bitsight,"Cyber Security, Risk Management, Security","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2011-01-01,year,,,2018-06-28,60000000,USD,60000000,Series D,60000000,USD,60000000,Late Stage Venture,"Comcast Ventures, GGV Capital, Menlo Ventures, National Science Foundation, Warburg Pincus",13
BetterCloud,https://www.crunchbase.com/organization/bettercloud,"Apps, Cloud Security, Enterprise Software, SaaS, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2011-11-01,day,,,2018-04-05,60000000,USD,60000000,Series E,60000000,USD,60000000,Late Stage Venture,"Accel, Bain Capital Ventures, e.ventures, Greycroft, Tribeca Venture Partners",13
JASK,https://www.crunchbase.com/organization/jask-labs-inc,"Artificial Intelligence, Cyber Security, Security","Austin, Texas, United States",Southern US,2015-07-09,day,,,2018-06-28,25000000,USD,25000000,Series B,25000000,USD,25000000,Early Stage Venture,"Battery Ventures, Dell Technologies Capital, Kleiner Perkins, TenEleven Ventures, Vertical Venture Partners",7
IntSights,https://www.crunchbase.com/organization/intsights,"Analytics, Artificial Intelligence, Cyber Security, Enterprise Software, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2015-01-01,year,,,2018-06-21,17000000,USD,17000000,Series D,17000000,USD,17000000,Late Stage Venture,"Blackstone Group, ClearSky, Glilot Capital Partners, Tola Capital, Vintage Investment Partners",7
Verodin,https://www.crunchbase.com/organization/verodin,"Cloud Security, Compliance, Cyber Security, Intrusion Detection, Network Security, Penetration Testing, Security, Software","Mclean, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2014-01-01,year,2019-05-28,day,2018-06-28,21000000,USD,21000000,Series B,21000000,USD,21000000,M&A,"Bessemer Venture Partners, Capital One Growth Ventures, Citi Ventures, Crosslink Capital, TenEleven Ventures",8
CyberInt,https://www.crunchbase.com/organization/cyberint,"Cyber Security, Fraud Detection, Network Security, Security","Petah Tiqva, HaMerkaz, Israel",,2010-01-01,day,,,2018-05-31,18000000,USD,18000000,Series B,18000000,USD,18000000,Early Stage Venture,"Avi Naor, Dov Baharav, Mario Segal, Viola Growth, Zohar Zisapel",5
