Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Cloudflare,https://www.crunchbase.com/organization/cloudflare,"Ad Server, Advertising, Analytics, Enterprise Software, Security, Web Hosting","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2009-06-01,month,,,2019-03-12,150000000,USD,150000000,Series E,150000000,USD,150000000,Late Stage Venture,"New Enterprise Associates, Pelion Venture Partners, Qualcomm Ventures, Union Square Ventures, Venrock",12
OneTrust,https://www.crunchbase.com/organization/onetrust,"Compliance, Computer, Marketing, Privacy, Software","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2016-01-01,year,,,2019-07-11,200000000,USD,200000000,Series A,200000000,USD,200000000,Early Stage Venture,Insight Partners,1
ConsenSys,https://www.crunchbase.com/organization/consensus-systems,"Cryptocurrency, FinTech, Mobile, Software","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",2014-10-01,day,,,2019-07-02,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,,SK Group,1
Robinhood,https://www.crunchbase.com/organization/robinhood,"Bitcoin, Cryptocurrency, Ethereum, Finance, Financial Services, FinTech, Mobile, Personal Finance","Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2019-04-01,,,,Secondary Market,,,,,"Andreessen Horowitz, DST Global, LocalGlobe, Sequoia Capital, Susa Ventures",41
"Valimail, Inc.",https://www.crunchbase.com/organization/valimail,"Cyber Security, Email, Internet","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-03-01,day,,,2019-06-19,45000000,USD,45000000,Series C,45000000,USD,45000000,Late Stage Venture,"Bloomberg Beta, Flybridge Capital Partners, Insight Partners, Shasta Ventures, Tenaya Capital",6
BigID,https://www.crunchbase.com/organization/bigid,"Big Data, Network Security, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-02-01,day,,,2019-07-15,50000013,USD,50000013,Series C,50000013,USD,50000013,Late Stage Venture,"Comcast Ventures, Information Venture Partners, Plug and Play, SAP.iO Fund, Scale Venture Partners",9
Digital Shadows,https://www.crunchbase.com/organization/digital-shadows,"Analytics, Artificial Intelligence, Cyber Security, Risk Management","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2011-05-17,day,,,2019-07-09,10000000,USD,10000000,Series C,10000000,USD,10000000,Late Stage Venture,"National Australia Bank, Octopus Ventures, Passion Capital, Storm Ventures, Trinity Ventures",7
Exabeam,https://www.crunchbase.com/organization/exabeam,"Analytics, Big Data, Cyber Security, Enterprise Software, Information Technology, Real Time, Security","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2019-05-07,75000000,USD,75000000,Series E,75000000,USD,75000000,Late Stage Venture,"Aspect Ventures, Icon Ventures, Lightspeed Venture Partners, Norwest Venture Partners, Sapphire Ventures",7
Helium,https://www.crunchbase.com/organization/helium-systems-inc,"Blockchain, Cryptocurrency, Internet of Things, Telecommunications, Wireless","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2013-07-01,day,,,2019-06-12,15000000,USD,15000000,Series C,15000000,USD,15000000,Late Stage Venture,"GV, Khosla Ventures, Marc Benioff, Multicoin Capital, Union Square Ventures",14
SecurityScorecard,https://www.crunchbase.com/organization/security-scorecard,"Cloud Computing, Cloud Infrastructure, Cyber Security, Information Technology, Risk Management, SaaS, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2013-01-01,year,,,2019-06-13,50000000,USD,50000000,Series D,50000000,USD,50000000,Late Stage Venture,"GV, Intel Capital, Moody's Investors Service, Sequoia Capital, Two Sigma Ventures",13
Sumo Logic,https://www.crunchbase.com/organization/sumo-logic,"Analytics, Big Data, Enterprise Software, Information Technology, SaaS, Security","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2010-01-01,year,,,2019-05-08,110000000,USD,110000000,Series G,110000000,USD,110000000,Late Stage Venture,"Battery Ventures, Sapphire Ventures, Sequoia Capital, Sutter Hill Ventures, Tiger Global Management",13
TrustArc,https://www.crunchbase.com/organization/truste,"Compliance, Enterprise Software, Mobile, Privacy, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",1997-01-01,year,,,2019-07-10,70000000,USD,70000000,Series D,70000000,USD,70000000,Late Stage Venture,"Accel, Bregal Sagemount, DAG Ventures, Icon Ventures, Industry Ventures",6
GoTenna,https://www.crunchbase.com/organization/gotenna,"Consumer Electronics, Hardware, Messaging, Mobile, Privacy, Software","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",2012-11-01,day,,,2019-06-18,24000000,USD,24000000,Series C,24000000,USD,24000000,Late Stage Venture,"Collaborative Fund, Comcast Ventures, Founders Fund, Jeremy Yap, Union Square Ventures",16
