Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Symantec,https://www.crunchbase.com/organization/symantec,"Computer, Cyber Security, Information Technology, Security","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",1982-01-01,year,1989-06-30,day,2018-08-16,670000000,USD,670000000,Post-IPO Secondary,500000000,USD,500000000,IPO,"Kleiner Perkins, National Science Foundation, Sequoia Capital, Silver Lake Partners, Starboard Value",5
Coinbase,https://www.crunchbase.com/organization/coinbase,"Bitcoin, Blockchain, Cryptocurrency, E-Commerce, Ethereum, FinTech, Personal Finance, Virtual Currency","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2012-06-01,day,,,2018-12-05,,,,Series F,,,,Late Stage Venture,"Andreessen Horowitz, Battery Ventures, Blockchain Capital, Union Square Ventures, Y Combinator",53
Bitmain,https://www.crunchbase.com/organization/bitmain,"Application Specific Integrated Circuit (ASIC), Bitcoin, Electronics, Manufacturing, Semiconductor","Beijing, Beijing, China",Asia-Pacific (APAC),2013-01-01,year,,,2018-08-07,422000000,USD,422000000,Series B,422000000,USD,422000000,Early Stage Venture,"Coatue Management, IDG Capital, Newegg, Sequoia Capital China, Temasek Holdings",12
Netskope,https://www.crunchbase.com/organization/netskope,"Cloud Security, Cyber Security, Enterprise Software, Software","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2012-10-08,day,,,2018-11-13,168700000,USD,168700000,Series F,168700000,USD,168700000,Late Stage Venture,"Accel, Dell Technologies Capital, ICONIQ Capital, Lightspeed Venture Partners, Sapphire Ventures",8
Canary,https://www.crunchbase.com/organization/canary,"Crowdfunding, Hardware, Security, Smart Home","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2012-01-01,year,,,2018-10-16,25000000,USD,25000000,Undisclosed,25000000,USD,25000000,,"Cota Capital, Khosla Ventures, Smartfrog, Two Sigma Ventures, Walden Riverwood Ventures",10
Darktrace,https://www.crunchbase.com/organization/darktrace,"Artificial Intelligence, Cyber Security, Information Technology, Machine Learning","Cambridge, Cambridgeshire, United Kingdom",European Union (EU),2013-01-01,year,,,2018-09-26,50000000,USD,50000000,Series E,50000000,USD,50000000,Late Stage Venture,"Insight Partners, Kohlberg Kravis Roberts, SoftBank, Summit Partners, Talis Capital",11
Circle,https://www.crunchbase.com/organization/circle-2,"Banking, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Payments, Personal Finance","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2013-01-01,year,,,2018-08-30,,,,Secondary Market,,,,,"Bitmain, Blockchain Capital, CICC, CreditEase, Fenway Summer Ventures",26
HashiCorp,https://www.crunchbase.com/organization/hashicorp,"Cloud Infrastructure, Cyber Security, Private Cloud","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2012-01-01,year,,,2019-01-01,,,,Venture - Series Unknown,,,,,"Bessemer Venture Partners, Mayfield Fund, Redpoint, TCV, True Ventures",9
Twistlock,https://www.crunchbase.com/organization/twistlock,"Cloud Security, Enterprise Software, Information Technology, Security","Portland, Oregon, United States","West Coast, Western US",2015-01-09,day,2019-05-29,day,2018-08-15,33000000,USD,33000000,Series C,33000000,USD,33000000,M&A,"Dell Technologies Capital, ICONIQ Capital, Polaris Partners, TenEleven Ventures, YL Ventures",6
Tanium,https://www.crunchbase.com/organization/tanium,"Enterprise Software, Information Technology, Security","Emeryville, California, United States","San Francisco Bay Area, West Coast, Western US",2007-01-01,year,,,2018-10-02,200000000,USD,200000000,Private Equity,200000000,USD,200000000,Private Equity,"Andreessen Horowitz, Baillie Gifford, T. Rowe Price, TPG, TPG Growth",11
DuckDuckGo,https://www.crunchbase.com/organization/duck-duck-go,"Internet, Privacy, Search Engine","Paoli, Pennsylvania, United States","Greater Philadelphia Area, Great Lakes, Northeastern US",2008-02-29,day,,,2018-08-21,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,,"Joshua Schachter, Kal Vepuri, OMERS Ventures, Scott Banister, Union Square Ventures",8
Sonatype,https://www.crunchbase.com/organization/sonatype,"Enterprise Software, Open Source, Security, Software","Fulton, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2008-01-01,year,,,2018-09-07,80000000,USD,80000000,Private Equity,80000000,USD,80000000,Private Equity,"Accel, Bay Partners, Morgenthaler Ventures, New Enterprise Associates, TPG",7
Sift,https://www.crunchbase.com/organization/sift-science,"Big Data, E-Commerce, FinTech, Fraud Detection, Machine Learning, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2011-06-01,day,,,2018-07-10,,,,Secondary Market,53000000,USD,53000000,Late Stage Venture,"Andreessen Horowitz, Glassdoor, Insight Partners, Union Square Ventures, Y Combinator",19
Shape Security,https://www.crunchbase.com/organization/shape-security,"Cyber Security, Network Security, Security","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2011-01-01,year,,,2018-11-01,26000000,USD,26000000,Series E,26000000,USD,26000000,Late Stage Venture,"GV, Northern Light Venture Capital, Norwest Venture Partners, Sierra Ventures, Venrock",18
Dragos,https://www.crunchbase.com/organization/dragos,"Cyber Security, Industrial, Network Security, Security, Software","Hanover, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2016-05-01,month,,,2018-11-14,37000000,USD,37000000,Series B,37000000,USD,37000000,Early Stage Venture,"AllegisCyber, Canaan Partners, DataTribe, Energy Impact Partners, National Grid Partners (NGP)",7
Trulioo,https://www.crunchbase.com/organization/trulioo,"Big Data, Compliance, Finance, Financial Services, FinTech, Identity Management, SaaS, Security","Vancouver, British Columbia, Canada",,2011-01-01,year,,,2018-07-31,10000000,CAD,7680998,Series B,10000000,CAD,7680998,Early Stage Venture,"American Express Ventures, BDC Venture Capital, Blumberg Capital, Tenfore Holdings, UST Global",6
Area 1 Security,https://www.crunchbase.com/organization/area-1-security,"Cyber Security, Network Security, Security","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-11-01,month,,,2018-10-23,32000000,USD,32000000,Series C,32000000,USD,32000000,Late Stage Venture,"First Round Capital, Icon Ventures, Kleiner Perkins, RedSeal, Top Tier Capital Partners",15
